Depth,GR,DT,DTS,RHOB,NPHI_LIM
300.0,69.9,54.6,104.3,2723.5,4.6
300.5,58.5,54.5,100.8,2753.1,4.6
301.0,51.6,58.9,105.9,2723.8,2.4
301.5,76.0,65.9,112.5,2670.5,8.1
302.0,85.8,64.3,110.7,2659.7,7.4
302.5,79.6,59.0,107.5,2656.9,7.5
303.0,72.8,55.0,104.2,2704.1,5.3
303.5,59.3,60.2,110.1,2727.5,4.3
304.0,85.8,69.7,123.9,2679.0,9.5
304.5,105.3,73.8,129.3,2623.9,14.8
305.0,98.3,76.1,140.0,2591.3,13.2
305.5,124.2,74.5,131.7,2627.0,20.7
306.0,98.1,71.9,125.9,2599.8,12.6
306.5,96.1,70.7,123.1,2604.7,15.1
307.0,93.8,70.0,123.8,2646.6,11.6
307.5,110.0,72.9,126.1,2632.1,16.6
308.0,134.5,72.7,127.5,2672.6,19.2
308.5,138.9,74.1,132.3,2670.2,19.1
309.0,141.1,75.0,132.2,2643.6,17.7
309.5,106.9,74.2,128.8,2605.8,13.7
310.0,83.5,72.1,119.6,2608.5,12.6
310.5,88.4,71.5,125.2,2617.2,11.8
311.0,92.3,73.7,130.1,2605.0,13.7
311.5,115.9,76.1,133.6,2626.2,17.5
312.0,110.4,74.1,126.8,2647.2,16.6
312.5,89.0,72.1,127.7,2603.3,12.5
313.0,106.7,72.2,126.6,2632.1,14.5
313.5,119.4,70.2,120.6,2647.6,15.9
314.0,101.7,70.5,122.7,2659.7,12.6
314.5,102.5,71.2,122.4,2662.3,12.4
315.0,105.2,71.9,121.0,2665.7,14.2
315.5,104.7,71.2,120.6,2665.4,14.1
316.0,104.3,70.6,121.2,2640.2,13.0
316.5,110.6,71.1,123.1,2636.9,14.4
317.0,114.0,72.0,123.2,2673.1,14.4
317.5,114.6,72.4,124.0,2672.2,15.1
318.0,125.0,69.9,123.4,2658.1,15.7
318.5,122.2,69.1,120.8,2650.8,14.9
319.0,115.6,69.5,120.5,2673.6,14.5
319.5,117.0,68.6,120.3,2682.8,14.0
320.0,110.7,68.3,120.0,2690.2,14.1
320.5,125.6,69.4,120.1,2682.9,15.8
321.0,116.5,69.7,120.0,2676.2,14.9
321.5,121.4,69.6,120.2,2671.6,14.9
322.0,117.6,69.3,120.6,2659.1,15.7
322.5,115.0,67.8,120.2,2652.6,13.5
323.0,120.6,68.4,118.8,2673.7,15.0
323.5,117.7,68.9,118.8,2651.1,14.5
324.0,121.2,68.5,119.6,2668.7,15.2
324.5,115.7,69.0,120.1,2699.1,14.0
325.0,120.0,67.5,122.0,2662.4,14.5
325.5,123.3,67.7,119.9,2642.7,15.1
326.0,139.9,68.9,122.4,2679.4,21.5
326.5,146.1,71.0,128.9,2665.1,21.6
327.0,145.3,70.6,128.9,2662.3,20.6
327.5,134.9,63.5,109.2,2702.9,17.9
328.0,107.4,56.7,108.7,2707.8,10.1
328.5,61.2,65.9,126.3,2734.4,5.9
329.0,118.5,72.1,131.2,2668.7,18.9
329.5,123.0,62.7,113.2,2635.7,19.0
330.0,53.9,53.3,93.1,2720.3,5.1
330.5,41.4,51.9,87.4,2759.6,6.2
331.0,50.1,54.8,86.8,2719.9,6.2
331.5,49.1,59.1,92.7,2717.9,4.8
332.0,55.0,66.7,100.1,2247.3,17.1
332.5,65.0,55.9,109.9,2533.0,9.4
333.0,46.1,57.5,115.4,2468.8,48.8
333.5,68.2,59.2,117.9,2594.4,18.1
334.0,86.7,58.9,119.4,2648.4,14.4
334.5,97.3,59.8,119.4,2661.7,16.1
335.0,97.4,61.4,116.9,2632.5,19.1
335.5,83.7,65.6,116.5,2585.2,17.5
336.0,76.1,66.3,111.8,2602.2,19.0
336.5,90.3,56.8,100.5,2720.0,16.4
337.0,67.5,56.1,99.8,2782.4,5.8
337.5,79.5,60.4,105.6,2749.0,8.9
338.0,86.3,57.8,102.9,2693.2,10.7
338.5,91.4,53.9,100.4,2722.4,9.5
339.0,80.9,51.9,97.1,2722.6,6.8
339.5,57.7,51.3,99.2,2742.5,0.7
340.0,52.2,50.0,94.5,2855.9,5.1
340.5,51.3,49.3,93.5,2863.9,6.7
341.0,58.6,49.6,89.2,2837.5,6.2
341.5,74.3,49.3,90.4,2821.6,7.8
342.0,61.9,52.2,98.6,2831.8,7.0
342.5,70.6,55.1,101.3,2837.5,7.5
343.0,56.7,54.8,97.0,2782.1,10.4
343.5,64.4,54.2,88.1,2783.2,8.2
344.0,85.4,61.1,119.8,2724.8,9.4
344.5,101.9,65.3,126.0,2645.9,10.9
345.0,114.1,65.5,123.0,2668.6,11.4
345.5,115.8,61.2,107.7,2711.7,10.0
346.0,80.5,50.7,92.3,2880.1,7.9
346.5,56.6,52.3,95.2,2865.4,6.1
347.0,96.4,61.8,115.4,2796.9,9.4
347.5,124.9,68.2,123.5,2664.4,13.2
348.0,119.4,72.5,130.1,2624.4,16.6
348.5,136.6,72.3,126.5,2649.8,19.8
349.0,113.0,72.2,124.9,2599.5,15.7
349.5,83.1,70.6,120.8,2600.2,12.4
350.0,98.6,70.0,121.2,2608.6,16.3
350.5,126.0,69.7,122.6,2653.8,21.3
351.0,112.7,69.6,124.2,2617.0,24.8
351.5,111.7,69.4,124.0,2609.4,27.9
352.0,100.3,68.5,122.5,2596.1,30.7
352.5,94.4,66.8,115.9,2658.1,22.3
353.0,87.9,66.2,113.0,2628.0,10.4
353.5,92.8,66.5,115.9,2634.4,11.6
354.0,107.3,69.3,123.3,2646.7,14.3
354.5,128.6,71.1,125.8,2671.3,20.5
355.0,114.9,70.4,122.6,2676.7,24.7
355.5,110.9,69.0,119.5,2637.7,16.5
356.0,96.7,68.3,118.8,2624.4,12.2
356.5,92.3,68.5,119.4,2637.6,11.9
357.0,104.8,69.8,120.1,2635.4,12.7
357.5,109.7,70.2,120.1,2652.7,16.2
358.0,111.1,70.3,121.4,2696.0,16.1
358.5,107.2,68.5,119.8,2670.1,18.8
359.0,108.1,68.4,119.1,2675.0,14.9
359.5,98.8,69.9,119.3,2631.0,14.5
360.0,104.6,69.0,117.1,2656.6,16.2
360.5,116.6,68.6,118.9,2661.4,14.0
361.0,125.5,69.8,119.9,2658.4,16.8
361.5,128.8,69.4,120.8,2693.3,18.2
362.0,129.0,68.9,120.3,2678.1,18.8
362.5,116.5,69.9,122.2,2725.2,16.5
363.0,123.6,69.3,120.2,2720.3,20.6
363.5,116.5,68.4,120.3,2638.2,17.9
364.0,118.4,69.7,121.0,2690.8,16.3
364.5,127.3,70.4,123.5,2677.1,17.1
365.0,124.4,70.3,125.4,2651.2,20.4
365.5,126.1,69.3,122.1,2735.0,20.4
366.0,120.7,69.0,121.2,2688.8,14.5
366.5,119.8,69.9,124.0,2703.0,16.8
367.0,117.7,69.5,120.0,2676.2,17.2
367.5,89.3,70.6,121.0,2611.4,12.6
368.0,87.4,70.4,120.1,2600.1,13.4
368.5,92.4,70.0,119.7,2645.9,12.9
369.0,110.7,70.6,124.1,2682.8,16.6
369.5,121.4,70.6,121.8,2703.9,17.9
370.0,111.3,69.8,119.4,2688.5,16.1
370.5,113.7,69.9,120.1,2668.8,14.7
371.0,119.6,69.7,120.0,2677.0,17.6
371.5,112.0,69.8,120.1,2673.9,15.7
372.0,93.7,69.3,119.6,2651.9,13.1
372.5,95.1,69.9,122.7,2639.8,13.0
373.0,109.6,71.0,125.2,2640.3,16.7
373.5,110.8,73.3,129.8,2591.6,18.7
374.0,117.1,74.3,132.2,2627.6,20.8
374.5,123.9,74.8,134.7,2631.3,19.7
375.0,98.6,73.5,142.1,2564.9,18.0
375.5,83.1,74.0,141.2,2591.0,14.7
376.0,108.3,74.0,133.3,2611.5,16.4
376.5,95.0,75.4,135.9,2558.9,18.2
377.0,87.8,79.2,148.4,2542.2,17.8
377.5,88.0,80.5,143.4,2499.0,17.2
378.0,95.7,78.5,136.1,2518.9,17.8
378.5,97.2,75.0,132.7,2543.0,19.9
379.0,105.2,72.8,126.3,2548.3,18.9
379.5,112.4,71.9,125.7,2575.2,20.3
380.0,112.2,72.3,124.4,2599.4,18.9
380.5,120.1,71.8,124.6,2609.9,18.9
381.0,118.3,72.0,124.5,2609.3,20.6
381.5,111.0,69.5,120.1,2603.7,18.6
382.0,88.8,69.1,119.4,2618.1,13.8
382.5,89.8,70.5,119.9,2596.9,13.5
383.0,98.0,71.5,120.7,2587.9,15.6
383.5,102.5,70.6,120.3,2601.2,16.9
384.0,102.8,70.7,119.9,2610.3,16.1
384.5,111.1,69.9,119.8,2579.0,17.8
385.0,124.8,70.0,119.8,2643.7,18.6
385.5,128.1,70.7,123.3,2653.0,18.7
386.0,128.1,69.6,119.9,2662.4,21.7
386.5,114.5,68.7,117.0,2656.2,15.9
387.0,100.7,68.7,119.8,2624.0,16.3
387.5,101.4,69.9,119.9,2646.1,16.2
388.0,111.7,70.1,120.0,2624.7,18.8
388.5,106.9,70.3,120.6,2635.1,17.8
389.0,113.8,70.5,122.5,2618.0,18.9
389.5,120.9,70.0,122.8,2635.5,19.1
390.0,115.1,67.6,119.5,2667.0,21.7
390.5,116.9,67.7,119.0,2713.1,18.7
391.0,113.7,68.1,120.2,2679.1,20.0
391.5,120.6,69.4,120.3,2674.4,19.6
392.0,118.6,68.5,118.3,2666.8,19.6
392.5,105.5,66.3,112.6,2673.7,15.1
393.0,92.2,66.0,112.6,2679.7,12.6
393.5,107.7,68.0,116.8,2652.7,15.9
394.0,128.9,70.3,122.4,2662.0,18.8
394.5,131.0,68.3,119.7,2675.9,20.1
395.0,104.1,67.6,117.6,2656.2,15.7
395.5,99.6,69.0,119.7,2629.3,15.9
396.0,108.4,70.1,120.1,2612.7,18.4
396.5,99.9,70.2,124.5,2598.0,14.8
397.0,83.8,72.3,127.5,2563.3,17.6
397.5,79.7,72.5,126.1,2550.3,15.9
398.0,82.7,70.1,120.2,2566.8,17.2
398.5,84.4,69.4,120.0,2603.7,13.5
399.0,96.6,70.7,123.1,2585.4,16.7
399.5,111.2,70.1,122.2,2606.7,20.2
400.0,116.7,68.3,120.3,2651.7,19.9
400.5,104.7,66.0,116.9,2716.7,21.0
401.0,96.8,67.4,118.5,2739.5,16.5
401.5,117.2,68.2,120.1,2752.3,18.6
402.0,115.7,67.6,117.1,2765.6,15.5
402.5,122.3,67.0,115.0,2708.7,16.0
403.0,116.0,68.2,117.5,2669.8,16.2
403.5,112.7,69.6,119.4,2650.9,17.0
404.0,112.1,68.4,117.4,2633.4,19.6
404.5,106.4,67.1,114.3,2642.5,14.7
405.0,103.4,68.3,117.4,2665.1,13.0
405.5,117.9,68.9,119.0,2658.1,20.1
406.0,115.5,68.0,118.4,2656.5,16.6
406.5,119.1,69.5,119.3,2620.3,18.0
407.0,109.4,69.9,120.0,2610.4,15.4
407.5,97.3,70.5,122.3,2592.3,16.1
408.0,89.4,71.9,124.1,2585.6,16.7
408.5,82.4,72.1,125.5,2554.8,17.3
409.0,92.9,71.0,121.0,2546.7,18.9
409.5,99.8,70.8,120.7,2574.5,16.9
410.0,102.5,72.2,124.2,2605.3,18.8
410.5,121.7,72.2,124.2,2638.8,21.3
411.0,131.8,70.4,121.9,2654.5,19.3
411.5,125.7,69.6,120.1,2692.7,17.2
412.0,124.4,68.5,118.4,2744.8,16.5
412.5,117.5,70.4,120.2,2641.4,16.7
413.0,105.8,70.8,120.8,2586.5,16.1
413.5,98.8,71.3,121.1,2601.3,15.0
414.0,86.3,70.8,120.0,2603.2,14.4
414.5,93.1,70.7,120.3,2638.4,13.7
415.0,127.3,70.5,121.5,2695.1,19.6
415.5,145.9,70.6,122.6,2677.8,19.1
416.0,154.3,69.8,119.6,2666.8,21.6
416.5,126.5,65.9,114.1,2689.7,18.2
417.0,100.0,68.4,118.5,2630.7,12.8
417.5,98.6,71.8,121.6,2605.0,15.6
418.0,87.7,72.1,124.6,2586.0,14.6
418.5,96.7,72.4,125.3,2569.1,17.2
419.0,97.5,72.9,125.6,2567.9,18.1
419.5,87.8,73.8,126.6,2568.1,18.0
420.0,84.4,73.4,126.0,2547.5,16.9
420.5,91.8,72.4,125.4,2577.0,14.3
421.0,90.9,72.5,125.5,2569.0,14.7
421.5,94.8,71.9,125.2,2585.2,15.2
422.0,140.5,71.6,126.4,2619.1,17.7
422.5,146.7,69.9,121.9,2648.2,22.8
423.0,121.8,61.5,111.3,2714.7,20.0
423.5,76.1,59.5,105.9,2846.7,6.5
424.0,111.8,63.6,108.6,2739.9,14.5
424.5,119.3,66.0,112.7,2694.3,14.8
425.0,112.7,67.3,116.1,2665.6,16.2
425.5,105.9,68.2,118.2,2647.3,12.9
426.0,103.9,68.1,118.5,2643.0,15.2
426.5,110.1,69.6,119.9,2669.9,14.7
427.0,127.9,70.8,122.5,2639.8,18.0
427.5,144.4,66.1,113.8,2674.1,20.7
428.0,88.5,59.9,105.0,2810.7,8.5
428.5,73.9,59.8,102.1,2796.3,8.2
429.0,72.0,60.5,102.0,2747.8,7.5
429.5,72.3,61.2,105.9,2753.0,9.4
430.0,76.2,60.5,104.1,2751.8,8.9
430.5,77.4,58.9,102.0,2792.4,7.7
431.0,71.8,57.7,100.8,2817.8,7.1
431.5,63.5,56.1,99.9,2833.2,6.5
432.0,49.3,54.5,98.0,2871.8,4.1
432.5,40.6,54.0,95.6,2884.8,3.3
433.0,37.8,53.5,95.2,2873.4,2.8
433.5,46.6,53.3,97.4,2859.2,3.5
434.0,18.2,52.3,96.2,2957.9,-1.2
434.5,5.6,51.8,98.1,2977.6,-2.3
435.0,4.2,51.7,98.1,2980.9,-2.1
435.5,4.0,51.7,96.6,3030.9,-2.2
436.0,4.3,51.9,95.9,2995.2,-2.2
436.5,4.6,52.0,96.2,3017.5,-1.9
437.0,5.5,51.9,95.8,2993.3,-2.2
437.5,4.8,51.8,94.9,3009.2,-2.2
438.0,5.0,52.3,94.5,2984.4,-2.2
438.5,7.3,51.7,95.3,2971.6,-2.2
439.0,10.3,51.9,95.3,2952.6,-2.2
439.5,11.8,52.1,94.6,2966.4,-2.0
440.0,11.5,52.1,94.3,2970.5,-1.9
440.5,11.3,52.2,94.5,2971.5,-1.9
441.0,8.0,51.5,94.4,2952.7,-2.1
441.5,9.9,51.6,94.1,2955.2,-2.2
442.0,12.7,51.7,94.2,2996.6,-2.1
442.5,15.5,51.7,94.3,2968.2,-1.8
443.0,18.6,51.5,94.6,2956.3,-1.8
443.5,17.0,52.0,94.4,2968.0,-1.7
444.0,16.3,52.1,95.3,2952.4,-1.3
444.5,22.1,52.0,95.3,2915.9,-0.4
445.0,15.2,51.8,95.2,2955.6,-1.2
445.5,13.9,51.6,95.0,2956.3,-0.8
446.0,14.9,51.6,94.7,2955.4,-0.9
446.5,12.7,51.6,94.0,2952.2,-0.7
447.0,18.3,51.8,94.5,2960.0,-0.5
447.5,22.6,51.3,93.5,2959.6,0.5
448.0,28.1,52.2,94.1,2858.3,1.4
448.5,53.9,54.1,97.9,2747.6,3.8
449.0,68.5,55.9,99.6,2736.0,7.3
449.5,77.8,54.9,97.5,2719.7,8.1
450.0,64.3,52.3,94.2,2752.8,4.4
450.5,64.6,51.6,94.1,2727.9,4.1
451.0,50.9,52.7,94.5,2743.5,2.8
451.5,70.0,54.3,95.3,2768.6,5.1
452.0,75.0,53.9,94.1,2769.6,6.4
452.5,71.8,56.5,102.0,2762.1,6.3
453.0,105.6,62.8,111.1,2731.1,12.7
453.5,125.0,66.4,117.3,2741.9,18.5
454.0,120.4,66.6,114.7,2663.4,17.0
454.5,107.1,67.3,115.6,2673.6,12.4
455.0,124.2,68.5,116.6,2650.0,18.0
455.5,123.1,66.5,114.6,2691.4,16.5
456.0,123.8,68.5,120.6,2702.7,14.0
456.5,138.1,71.5,126.3,2670.6,20.8
457.0,143.0,70.6,123.2,2671.8,23.5
457.5,133.2,68.9,119.9,2663.5,19.9
458.0,118.0,69.7,119.9,2664.9,14.5
458.5,111.6,70.0,120.2,2638.7,15.2
459.0,110.4,69.7,119.9,2653.7,13.6
459.5,109.7,69.8,120.1,2632.7,13.6
460.0,96.0,69.7,120.4,2628.3,12.7
460.5,96.4,69.7,120.3,2630.0,14.5
461.0,117.1,70.2,121.7,2627.9,15.2
461.5,121.4,67.5,115.4,2685.9,18.0
462.0,83.4,64.4,113.4,2800.1,6.0
462.5,118.5,68.3,119.3,2707.9,18.6
463.0,131.0,68.7,119.0,2666.0,17.6
463.5,126.2,68.7,119.2,2685.9,15.8
464.0,131.4,69.7,120.4,2669.0,16.1
464.5,135.5,70.5,121.0,2677.7,18.5
465.0,146.2,70.1,122.0,2706.1,22.4
465.5,148.6,69.9,120.3,2681.4,20.3
466.0,140.0,70.0,120.5,2679.8,17.6
466.5,140.7,69.8,120.9,2690.3,19.8
467.0,134.4,70.6,123.7,2708.3,17.3
467.5,146.6,72.0,125.6,2696.4,21.1
468.0,155.4,70.9,123.6,2693.3,23.9
468.5,145.3,68.8,119.3,2674.9,19.7
469.0,131.3,67.7,116.9,2697.7,15.1
469.5,131.4,68.6,118.9,2695.9,16.5
470.0,134.5,70.0,119.9,2681.1,18.5
470.5,139.5,68.6,118.5,2694.2,16.8
471.0,132.2,68.2,118.8,2690.6,16.7
471.5,137.0,68.7,119.5,2687.6,16.9
472.0,138.4,69.5,120.2,2673.2,18.0
472.5,135.3,69.4,119.7,2676.8,16.9
473.0,132.6,68.0,119.7,2684.1,17.7
